Economy,Year,GDP,Population
AUS,12/31/2017,1157.283926,24.451
AUS,12/31/2018,1201.142573,24.772
AUS,12/31/2019,1245.039044,25.089
AUS,12/31/2020,1289.224526,25.398
AUS,12/31/2021,1333.639686,25.7
AUS,12/31/2022,1378.646228,25.996
AUS,12/31/2023,1424.442629,26.287
AUS,12/31/2024,1471.20582,26.573
AUS,12/31/2025,1519.006309,26.857
AUS,12/31/2026,1566.859653,27.139
AUS,12/31/2027,1615.958599,27.418
AUS,12/31/2028,1666.222278,27.693
AUS,12/31/2029,1717.419964,27.966
AUS,12/31/2030,1769.393796,28.234
AUS,12/31/2031,1821.332122,28.5
AUS,12/31/2032,1874.054169,28.76
AUS,12/31/2033,1927.569372,29.018
AUS,12/31/2034,1981.931991,29.273
AUS,12/31/2035,2037.127705,29.527
AUS,12/31/2036,2091.895589,29.777
AUS,12/31/2037,2147.448007,30.026
AUS,12/31/2038,2203.751837,30.273
AUS,12/31/2039,2260.727484,30.52
AUS,12/31/2040,2318.290528,30.764
AUS,12/31/2041,2375.138639,31.009
AUS,12/31/2042,2432.794114,31.253
AUS,12/31/2043,2491.262884,31.496
AUS,12/31/2044,2550.592656,31.739
AUS,12/31/2045,2610.851825,31.982
AUS,12/31/2046,2670.775153,32.225
AUS,12/31/2047,2731.887132,32.468
AUS,12/31/2048,2794.170024,32.71
AUS,12/31/2049,2857.579294,32.95
AUS,12/31/2050,2922.072575,33.187
BD,12/31/2017,32.43736558,0.429
BD,12/31/2018,33.06990745,0.434
BD,12/31/2019,33.6765174,0.439
BD,12/31/2020,34.25948149,0.445
BD,12/31/2021,34.7613324,0.45
BD,12/31/2022,35.25930322,0.455
BD,12/31/2023,35.74498418,0.459
BD,12/31/2024,36.21604656,0.464
BD,12/31/2025,36.67080537,0.469
BD,12/31/2026,37.06793878,0.473
BD,12/31/2027,37.46276767,0.478
BD,12/31/2028,37.85801066,0.482
BD,12/31/2029,38.25590743,0.486
BD,12/31/2030,38.65420046,0.49
BD,12/31/2031,38.9798883,0.494
BD,12/31/2032,39.31756879,0.497
BD,12/31/2033,39.66354889,0.5
BD,12/31/2034,40.01831814,0.504
BD,12/31/2035,40.37763015,0.507
BD,12/31/2036,40.67279156,0.509
BD,12/31/2037,40.98266035,0.513
BD,12/31/2038,41.30388234,0.515
BD,12/31/2039,41.63187599,0.518
BD,12/31/2040,41.96499216,0.52
BD,12/31/2041,42.23176756,0.522
BD,12/31/2042,42.51137821,0.524
BD,12/31/2043,42.80047205,0.526
BD,12/31/2044,43.10018975,0.528
BD,12/31/2045,43.40773233,0.53
BD,12/31/2046,43.64478505,0.532
BD,12/31/2047,43.89495617,0.533
BD,12/31/2048,44.15660231,0.535
BD,12/31/2049,44.43225067,0.535
BD,12/31/2050,44.71449341,0.537
CDA,12/31/2017,1702.56112,36.624
CDA,12/31/2018,1736.225571,36.954
CDA,12/31/2019,1771.168763,37.28
CDA,12/31/2020,1807.36286,37.604
CDA,12/31/2021,1844.71246,37.924
CDA,12/31/2022,1883.170718,38.242
CDA,12/31/2023,1922.752078,38.556
CDA,12/31/2024,1963.133817,38.868
CDA,12/31/2025,2004.109568,39.173
CDA,12/31/2026,2045.710589,39.473
CDA,12/31/2027,2087.986905,39.769
CDA,12/31/2028,2130.945077,40.059
CDA,12/31/2029,2174.536544,40.342
CDA,12/31/2030,2218.71007,40.618
CDA,12/31/2031,2263.425517,40.886
CDA,12/31/2032,2308.694906,41.147
CDA,12/31/2033,2354.538825,41.401
CDA,12/31/2034,2400.973842,41.647
CDA,12/31/2035,2448.001199,41.888
CDA,12/31/2036,2495.626479,42.123
CDA,12/31/2037,2543.873074,42.351
CDA,12/31/2038,2592.766017,42.574
CDA,12/31/2039,2642.312764,42.792
CDA,12/31/2040,2692.521059,43.005
CDA,12/31/2041,2743.424646,43.213
CDA,12/31/2042,2795.096455,43.417
CDA,12/31/2043,2847.594538,43.619
CDA,12/31/2044,2900.951807,43.816
CDA,12/31/2045,2955.183143,44.011
CDA,12/31/2046,3010.304987,44.204
CDA,12/31/2047,3066.353016,44.395
CDA,12/31/2048,3123.34048,44.583
CDA,12/31/2049,3181.260928,44.768
CDA,12/31/2050,3240.094122,44.949
CHL,12/31/2017,433.1239066,18.055
CHL,12/31/2018,457.4892747,18.197
CHL,12/31/2019,482.2439331,18.336
CHL,12/31/2020,507.1911638,18.472
CHL,12/31/2021,532.1832779,18.605
CHL,12/31/2022,557.0930074,18.734
CHL,12/31/2023,581.8188688,18.859
CHL,12/31/2024,606.2988797,18.98
CHL,12/31/2025,630.5043574,19.099
CHL,12/31/2026,654.4351009,19.214
CHL,12/31/2027,678.1107657,19.327
CHL,12/31/2028,701.5592257,19.435
CHL,12/31/2029,724.8162389,19.538
CHL,12/31/2030,747.9239886,19.638
CHL,12/31/2031,770.9288786,19.731
CHL,12/31/2032,793.8797906,19.82
CHL,12/31/2033,816.8236113,19.903
CHL,12/31/2034,839.806564,19.983
CHL,12/31/2035,862.8703395,20.059
CHL,12/31/2036,886.0498811,20.131
CHL,12/31/2037,909.3751705,20.199
CHL,12/31/2038,932.8651206,20.263
CHL,12/31/2039,956.5234499,20.322
CHL,12/31/2040,980.3417883,20.378
CHL,12/31/2041,1004.308061,20.431
CHL,12/31/2042,1028.412733,20.479
CHL,12/31/2043,1052.638806,20.523
CHL,12/31/2044,1076.959404,20.562
CHL,12/31/2045,1101.337868,20.598
CHL,12/31/2046,1125.734717,20.63
CHL,12/31/2047,1150.114767,20.657
CHL,12/31/2048,1174.440897,20.682
CHL,12/31/2049,1198.676569,20.702
CHL,12/31/2050,1222.783525,20.718
PRC,12/31/2017,22363.53103,1409.517
PRC,12/31/2018,23659.61253,1415.046
PRC,12/31/2019,24947.92153,1420.062
PRC,12/31/2020,26230.10541,1424.548
PRC,12/31/2021,27506.86183,1428.48
PRC,12/31/2022,28778.35743,1431.85
PRC,12/31/2023,30044.82338,1434.676
PRC,12/31/2024,31306.91204,1436.995
PRC,12/31/2025,32566.12911,1438.836
PRC,12/31/2026,33825.34552,1440.205
PRC,12/31/2027,35088.93372,1441.106
PRC,12/31/2028,36362.3127,1441.556
PRC,12/31/2029,37651.69515,1441.574
PRC,12/31/2030,38964.09593,1441.182
PRC,12/31/2031,40306.88905,1440.391
PRC,12/31/2032,41686.98853,1439.216
PRC,12/31/2033,43109.57601,1437.667
PRC,12/31/2034,44577.04452,1435.761
PRC,12/31/2035,46088.49836,1433.509
PRC,12/31/2036,47639.38522,1430.923
PRC,12/31/2037,49221.38089,1428.013
PRC,12/31/2038,50822.94191,1424.792
PRC,12/31/2039,52430.13097,1421.275
PRC,12/31/2040,54027.94789,1417.473
PRC,12/31/2041,55602.06671,1413.397
PRC,12/31/2042,57140.38542,1409.052
PRC,12/31/2043,58633.47443,1404.434
PRC,12/31/2044,60075.23164,1399.538
PRC,12/31/2045,61463.04977,1394.361
PRC,12/31/2046,62797.98309,1388.91
PRC,12/31/2047,64084.44236,1383.192
PRC,12/31/2048,65329.42523,1377.21
PRC,12/31/2049,66541.96793,1370.963
PRC,12/31/2050,67732.04067,1364.456
HKC,12/31/2017,436.5890155,7.365
HKC,12/31/2018,449.1597931,7.429
HKC,12/31/2019,461.8591706,7.491
HKC,12/31/2020,474.5711983,7.548
HKC,12/31/2021,487.0754561,7.598
HKC,12/31/2022,499.279321,7.643
HKC,12/31/2023,511.2531616,7.685
HKC,12/31/2024,523.237831,7.726
HKC,12/31/2025,535.4166282,7.768
HKC,12/31/2026,547.3574284,7.814
HKC,12/31/2027,559.4722532,7.859
HKC,12/31/2028,571.8199627,7.905
HKC,12/31/2029,584.3939782,7.948
HKC,12/31/2030,597.273775,7.987
HKC,12/31/2031,609.9856775,8.023
HKC,12/31/2032,623.1094852,8.053
HKC,12/31/2033,636.5822704,8.08
HKC,12/31/2034,650.327773,8.105
HKC,12/31/2035,664.2264016,8.127
HKC,12/31/2036,678.4036295,8.146
HKC,12/31/2037,692.7500376,8.162
HKC,12/31/2038,707.2851707,8.176
HKC,12/31/2039,721.9592578,8.188
HKC,12/31/2040,736.7636748,8.199
HKC,12/31/2041,751.8509651,8.209
HKC,12/31/2042,767.0260049,8.216
HKC,12/31/2043,782.2920468,8.223
HKC,12/31/2044,797.7606121,8.228
HKC,12/31/2045,813.3671333,8.233
HKC,12/31/2046,830.6353725,8.238
HKC,12/31/2047,848.2545747,8.243
HKC,12/31/2048,866.0841888,8.247
HKC,12/31/2049,883.9891083,8.25
HKC,12/31/2050,901.9311209,8.253
INA,12/31/2017,3112.331292,263.991
INA,12/31/2018,3295.60928,266.795
INA,12/31/2019,3488.936656,269.537
INA,12/31/2020,3693.734814,272.223
INA,12/31/2021,3911.045297,274.854
INA,12/31/2022,4141.602277,277.425
INA,12/31/2023,4385.948175,279.934
INA,12/31/2024,4644.490992,282.376
INA,12/31/2025,4917.539393,284.751
INA,12/31/2026,5205.336959,287.056
INA,12/31/2027,5508.052854,289.292
INA,12/31/2028,5825.728932,291.46
INA,12/31/2029,6158.276587,293.56
INA,12/31/2030,6505.538184,295.595
INA,12/31/2031,6867.313616,297.565
INA,12/31/2032,7243.34596,299.468
INA,12/31/2033,7633.308546,301.302
INA,12/31/2034,8036.803252,303.066
INA,12/31/2035,8453.413859,304.758
INA,12/31/2036,8882.770875,306.378
INA,12/31/2037,9324.649631,307.924
INA,12/31/2038,9778.929011,309.399
INA,12/31/2039,10245.53837,310.802
INA,12/31/2040,10724.46297,312.134
INA,12/31/2041,11215.77867,313.396
INA,12/31/2042,11719.61657,314.588
INA,12/31/2043,12236.10816,315.709
INA,12/31/2044,12765.36453,316.757
INA,12/31/2045,13307.48294,317.732
INA,12/31/2046,13862.57793,318.635
INA,12/31/2047,14430.73764,319.465
INA,12/31/2048,15011.94734,320.226
INA,12/31/2049,15606.03745,320.92
INA,12/31/2050,16212.72839,321.55
JPN,12/31/2017,5210.443687,127.484
JPN,12/31/2018,5250.003682,127.185
JPN,12/31/2019,5296.109833,126.855
JPN,12/31/2020,5347.531502,126.495
JPN,12/31/2021,5403.147929,126.109
JPN,12/31/2022,5462.306521,125.697
JPN,12/31/2023,5524.722222,125.259
JPN,12/31/2024,5590.26717,124.796
JPN,12/31/2025,5658.856244,124.31
JPN,12/31/2026,5730.421375,123.801
JPN,12/31/2027,5804.85581,123.272
JPN,12/31/2028,5881.862362,122.724
JPN,12/31/2029,5960.930694,122.161
JPN,12/31/2030,6041.482769,121.58
JPN,12/31/2031,6122.239375,120.988
JPN,12/31/2032,6201.58722,120.382
JPN,12/31/2033,6279.5183,119.766
JPN,12/31/2034,6356.080281,119.138
JPN,12/31/2035,6431.338777,118.5
JPN,12/31/2036,6505.342764,117.852
JPN,12/31/2037,6578.159613,117.198
JPN,12/31/2038,6649.849253,116.539
JPN,12/31/2039,6720.513127,115.876
JPN,12/31/2040,6790.328495,115.213
JPN,12/31/2041,6859.6238,114.548
JPN,12/31/2042,6928.927126,113.886
JPN,12/31/2043,6998.793709,113.226
JPN,12/31/2044,7069.777294,112.571
JPN,12/31/2045,7142.438952,111.924
JPN,12/31/2046,7217.39899,111.282
JPN,12/31/2047,7295.399996,110.65
JPN,12/31/2048,7377.138739,110.024
JPN,12/31/2049,7463.193178,109.406
JPN,12/31/2050,7554.033544,108.794
KOR,12/31/2017,1948.925666,50.982
KOR,12/31/2018,2013.342662,51.164
KOR,12/31/2019,2078.130276,51.339
KOR,12/31/2020,2143.183904,51.507
KOR,12/31/2021,2208.267338,51.667
KOR,12/31/2022,2273.136741,51.817
KOR,12/31/2023,2337.591253,51.959
KOR,12/31/2024,2401.515619,52.093
KOR,12/31/2025,2464.833932,52.219
KOR,12/31/2026,2527.488781,52.338
KOR,12/31/2027,2589.456879,52.447
KOR,12/31/2028,2650.72849,52.546
KOR,12/31/2029,2711.32485,52.631
KOR,12/31/2030,2771.278698,52.702
KOR,12/31/2031,2830.634441,52.757
KOR,12/31/2032,2889.462983,52.798
KOR,12/31/2033,2947.844914,52.821
KOR,12/31/2034,3005.866379,52.823
KOR,12/31/2035,3063.609306,52.806
KOR,12/31/2036,3121.150744,52.767
KOR,12/31/2037,3178.570846,52.706
KOR,12/31/2038,3235.926536,52.626
KOR,12/31/2039,3293.225172,52.527
KOR,12/31/2040,3350.439908,52.41
KOR,12/31/2041,3407.529375,52.276
KOR,12/31/2042,3464.460649,52.125
KOR,12/31/2043,3521.198316,51.959
KOR,12/31/2044,3577.691327,51.779
KOR,12/31/2045,3633.893874,51.586
KOR,12/31/2046,3689.78595,51.381
KOR,12/31/2047,3745.392658,51.165
KOR,12/31/2048,3800.756553,50.938
KOR,12/31/2049,3855.904183,50.702
KOR,12/31/2050,3910.867882,50.457
MAS,12/31/2017,893.3100836,31.624
MAS,12/31/2018,936.2440522,32.043
MAS,12/31/2019,980.686103,32.455
MAS,12/31/2020,1026.535142,32.869
MAS,12/31/2021,1073.995475,33.289
MAS,12/31/2022,1122.952095,33.711
MAS,12/31/2023,1173.554862,34.131
MAS,12/31/2024,1225.847959,34.545
MAS,12/31/2025,1279.938307,34.95
MAS,12/31/2026,1334.807058,35.344
MAS,12/31/2027,1391.445555,35.728
MAS,12/31/2028,1449.800778,36.102
MAS,12/31/2029,1510.084857,36.464
MAS,12/31/2030,1572.391528,36.815
MAS,12/31/2031,1636.59409,37.153
MAS,12/31/2032,1702.987236,37.478
MAS,12/31/2033,1771.408428,37.791
MAS,12/31/2034,1842.057125,38.091
MAS,12/31/2035,1914.777127,38.381
MAS,12/31/2036,1988.510126,38.659
MAS,12/31/2037,2064.280352,38.925
MAS,12/31/2038,2142.014094,39.181
MAS,12/31/2039,2221.550062,39.429
MAS,12/31/2040,2302.929229,39.668
MAS,12/31/2041,2385.227212,39.9
MAS,12/31/2042,2469.225371,40.124
MAS,12/31/2043,2555.241485,40.341
MAS,12/31/2044,2642.997976,40.554
MAS,12/31/2045,2732.576904,40.761
MAS,12/31/2046,2821.931807,40.964
MAS,12/31/2047,2912.58984,41.162
MAS,12/31/2048,3004.664171,41.356
MAS,12/31/2049,3097.91407,41.545
MAS,12/31/2050,3192.193894,41.729
MEX,12/31/2017,2359.469879,129.163
MEX,12/31/2018,2423.064928,130.76
MEX,12/31/2019,2488.662577,132.328
MEX,12/31/2020,2556.590943,133.87
MEX,12/31/2021,2627.00854,135.384
MEX,12/31/2022,2700.146947,136.869
MEX,12/31/2023,2776.11114,138.322
MEX,12/31/2024,2854.9172,139.745
MEX,12/31/2025,2937.112495,141.132
MEX,12/31/2026,3023.294578,142.484
MEX,12/31/2027,3114.081122,143.801
MEX,12/31/2028,3210.03934,145.083
MEX,12/31/2029,3311.660729,146.329
MEX,12/31/2030,3419.36189,147.54
